Epoch,Time(s),Loss,f1
00126, 28.8550, 0.1060, 0.2881 
00127, 28.8517, 0.1101, 0.3024 
00128, 28.8486, 0.1084, 0.3578 
00129, 28.8475, 0.1052, 0.3991 
00130, 28.8460, 0.1089, 0.3736 
00131, 28.8432, 0.1051, 0.3244 
00132, 28.8388, 0.1063, 0.3263 
00133, 28.8362, 0.1063, 0.3700 
00134, 28.8340, 0.1043, 0.4020 
00135, 28.8300, 0.1060, 0.3837 
00136, 28.8272, 0.1042, 0.3464 
00137, 28.8267, 0.1045, 0.3410 
00138, 28.8225, 0.1047, 0.3754 
00139, 28.8208, 0.1035, 0.4007 
00140, 28.8306, 0.1044, 0.3833 
00141, 28.8349, 0.1032, 0.3522 
00142, 28.8293, 0.1037, 0.3664 
00143, 28.8229, 0.1031, 0.3950 
